AUC,MRR,NDCG@5,NDCG@10
0.7489,0.5229,0.5889,0.6285
0.7485,0.5305,0.5908,0.6292
0.7485,0.5192,0.5853,0.6241
0.7483,0.52,0.5843,0.6218
0.7469,0.5197,0.5784,0.6185
0.7468,0.5157,0.5827,0.6234
0.7467,0.52,0.584,0.6219
0.7466,0.5273,0.5885,0.6274
0.746,0.5163,0.5812,0.6216
0.7452,0.526,0.5866,0.6255
0.7441,0.5168,0.5801,0.6186
0.7418,0.5106,0.5823,0.6185
0.7417,0.5098,0.5784,0.6163
0.7416,0.5158,0.5809,0.6223
0.7413,0.5135,0.5849,0.6201
0.7411,0.5069,0.5787,0.6162
0.7406,0.5231,0.5854,0.6246
0.7397,0.5158,0.5782,0.6184
0.7394,0.523,0.5844,0.624
0.7388,0.5129,0.5743,0.6142
0.7379,0.5077,0.5752,0.6136
0.7376,0.5108,0.5755,0.6172
0.7372,0.5128,0.5751,0.6154
0.7372,0.5049,0.5702,0.6105
0.7369,0.5207,0.5812,0.6201
0.7359,0.5081,0.5667,0.6091
0.7356,0.5087,0.5673,0.6096
0.7351,0.5068,0.5686,0.6123
0.735,0.504,0.5627,0.6052
0.735,0.5083,0.5692,0.6098
0.7349,0.5137,0.5752,0.6159
0.7346,0.5052,0.5732,0.6101
0.7346,0.5052,0.5732,0.6101
0.7344,0.5088,0.5699,0.6105
0.7343,0.5147,0.5751,0.6164
0.734,0.5075,0.5688,0.6099
0.734,0.5125,0.5743,0.6156
0.734,0.5141,0.5744,0.6159
0.7333,0.5058,0.5699,0.6128
0.7329,0.5056,0.5637,0.6064
0.7327,0.5026,0.5659,0.6056
0.7325,0.5076,0.5646,0.6081
0.7322,0.5128,0.5743,0.615
0.732,0.5001,0.559,0.6018
0.7311,0.5147,0.5758,0.6168
0.731,0.5109,0.5725,0.6145
0.7305,0.488,0.5586,0.6014
0.7289,0.4938,0.5627,0.6033
0.7283,0.5051,0.5654,0.6071
0.7276,0.5055,0.5678,0.61
0.7272,0.5063,0.5633,0.6061
0.7267,0.5073,0.5695,0.611
0.7267,0.5046,0.5634,0.6055
0.7266,0.4947,0.5603,0.6033
0.7262,0.498,0.5563,0.5996
0.7262,0.5085,0.5696,0.6114
0.7262,0.5085,0.5696,0.6114
0.726,0.5067,0.5688,0.61
0.7256,0.5041,0.5614,0.6045
0.7255,0.4983,0.5554,0.6011
0.7254,0.4944,0.5598,0.6028
0.7253,0.5021,0.5621,0.6041
0.725,0.4927,0.5585,0.6019
0.7249,0.498,0.5671,0.6026
0.7249,0.4963,0.5553,0.5993
0.7247,0.4979,0.5567,0.5998
0.7245,0.4972,0.5612,0.6039
0.7244,0.5076,0.5689,0.6106
0.724,0.5016,0.5593,0.6032
0.7236,0.4922,0.5573,0.6009
0.7235,0.4998,0.568,0.6051
0.7233,0.4869,0.5557,0.5971
0.7221,0.486,0.554,0.5959
0.7217,0.497,0.5569,0.6014
0.7207,0.5022,0.5636,0.6061
0.7205,0.4912,0.5559,0.6004
0.7197,0.4984,0.5584,0.6022
0.7194,0.4876,0.5529,0.5973
0.7192,0.4957,0.5597,0.6019
0.7191,0.4935,0.5531,0.5982
0.719,0.4996,0.5599,0.6023
0.7187,0.4906,0.5485,0.5925
0.7184,0.4922,0.5581,0.5978
0.7183,0.4786,0.5502,0.5912
0.7181,0.4907,0.549,0.5941
0.718,0.4944,0.5524,0.5982
0.7174,0.4867,0.5488,0.5962
0.7173,0.4855,0.5507,0.595
0.7166,0.492,0.5513,0.5967
0.7164,0.49,0.5508,0.5961
0.7163,0.4956,0.5529,0.5979
0.7153,0.4933,0.5508,0.5958
0.7153,0.4956,0.5531,0.5975
0.7135,0.4912,0.5489,0.5954
0.7134,0.4902,0.5483,0.5947
0.7131,0.4937,0.5505,0.5957
0.7123,0.4928,0.5505,0.5964
0.7121,0.4856,0.5426,0.5893
0.7115,0.4863,0.5441,0.5909
0.7115,0.494,0.5547,0.5985
0.7114,0.4903,0.5466,0.5928
0.7113,0.4874,0.5447,0.5908
0.7111,0.4881,0.5455,0.5912
0.7109,0.4946,0.5551,0.5985
0.7106,0.4816,0.5403,0.5871
0.7098,0.4839,0.5416,0.5873
0.7094,0.4861,0.543,0.5892
0.7089,0.4817,0.5407,0.5882
0.7085,0.4853,0.5433,0.5905
0.7078,0.4756,0.5343,0.5802
0.7074,0.4821,0.5405,0.5877
0.7069,0.4845,0.5405,0.5874
0.7065,0.4819,0.5385,0.5863
0.7051,0.4633,0.5322,0.5751
0.7031,0.4783,0.5343,0.5827
0.7011,0.4659,0.5253,0.5726
0.7008,0.472,0.5352,0.5806
0.7001,0.4735,0.5308,0.5779
0.6998,0.4635,0.5227,0.5705
0.6997,0.4731,0.5329,0.5789
0.6995,0.4716,0.5346,0.5807
0.6987,0.4711,0.5292,0.5763
0.6984,0.4614,0.5212,0.5691
0.6978,0.4591,0.5205,0.5679
0.6972,0.4528,0.5166,0.5672
0.6967,0.4501,0.5202,0.5656
0.6953,0.4487,0.5122,0.5638
0.6941,0.4709,0.5255,0.5756
0.6937,0.448,0.5118,0.563
0.6937,0.4725,0.5286,0.578
0.6912,0.4606,0.519,0.568
0.6902,0.4552,0.515,0.5636
0.6876,0.4737,0.5309,0.5795
0.6863,0.4523,0.5091,0.5631
0.6851,0.4516,0.5079,0.562
0.6831,0.4439,0.5021,0.5561
0.6828,0.4562,0.5114,0.5635
0.6811,0.478,0.5343,0.5814
0.6799,0.4502,0.5081,0.559
0.674,0.4502,0.5009,0.5585
0.6733,0.4444,0.5029,0.5554
0.6667,0.4298,0.4858,0.5446
0.6653,0.4326,0.4862,0.5456
0.6653,0.4326,0.4862,0.5456
0.6611,0.4327,0.4888,0.5432
0.6597,0.4301,0.4886,0.5448
0.6579,0.4273,0.4858,0.5424
0.6516,0.4323,0.4825,0.5438
0.6499,0.4005,0.4653,0.5243
0.6493,0.4182,0.4728,0.5294
0.6444,0.4263,0.4757,0.5385
0.6436,0.4187,0.4691,0.5319
0.641,0.4127,0.4664,0.5248
0.64,0.4108,0.4629,0.5254
0.6385,0.4101,0.4621,0.5253
0.6364,0.4021,0.4558,0.5199
0.6356,0.415,0.4649,0.527
0.6348,0.405,0.4555,0.5202
0.6306,0.3983,0.4494,0.5151
0.6296,0.4033,0.4534,0.5191
0.6255,0.3955,0.4453,0.5121
0.625,0.3919,0.4444,0.511
0.6234,0.4045,0.4526,0.5187
0.6222,0.4047,0.4531,0.5191
0.6203,0.4008,0.4494,0.5169
0.6197,0.4023,0.4502,0.5166
0.6191,0.4046,0.4515,0.519
0.6165,0.3858,0.4349,0.5046
0.6142,0.3868,0.4349,0.5027
0.6134,0.3847,0.4332,0.5029
0.6132,0.3857,0.4343,0.5038
0.6128,0.3857,0.4339,0.5038
0.6121,0.3974,0.4442,0.5122
0.6103,0.3975,0.4445,0.5124
0.6096,0.3838,0.4331,0.5016
0.6043,0.393,0.4384,0.5073
0.5992,0.3707,0.4175,0.4892
0.5975,0.3751,0.422,0.4933
0.5972,0.3775,0.4237,0.4966
0.597,0.3774,0.4237,0.4965
0.5955,0.3636,0.4125,0.4857
0.5941,0.3773,0.4237,0.4946
0.5941,0.3767,0.4213,0.4887
0.5935,0.3769,0.4231,0.4949
0.5908,0.3831,0.426,0.4981
0.5904,0.3802,0.4239,0.4968
0.5904,0.3802,0.4239,0.4968
0.5824,0.3649,0.4104,0.4826
0.5821,0.3752,0.4187,0.491
0.5799,0.3551,0.4005,0.4755
0.5786,0.3764,0.4185,0.4916
0.5742,0.3631,0.4058,0.4805
0.5726,0.3494,0.3943,0.4703
0.5697,0.3476,0.3914,0.467
0.5695,0.3534,0.3964,0.4724
0.5671,0.3652,0.4068,0.4812
0.5666,0.351,0.3945,0.4701
0.5664,0.3502,0.3939,0.4699
0.5645,0.3539,0.3962,0.4723
0.5645,0.3539,0.3962,0.4723
0.5645,0.3539,0.3962,0.4723
0.564,0.3625,0.4046,0.4783
0.5639,0.3548,0.3976,0.4735
0.5558,0.3514,0.392,0.4691
0.5547,0.3525,0.3933,0.4698
0.5522,0.3487,0.3894,0.4666
0.5522,0.3487,0.3894,0.4666
0.5522,0.3487,0.3894,0.4666
0.5522,0.3487,0.3894,0.4666
0.5522,0.3487,0.3894,0.4666
0.5493,0.3371,0.3787,0.4542
0.545,0.3239,0.3648,0.4474
0.5334,0.3348,0.3742,0.455
0.5334,0.3348,0.3742,0.455
0.5334,0.3348,0.3742,0.455
0.5319,0.3417,0.3774,0.4559
0.5314,0.3341,0.3712,0.4523
0.5295,0.3382,0.3743,0.4534
0.5293,0.3392,0.3751,0.4539
0.5276,0.337,0.3729,0.4521
0.5258,0.3365,0.3689,0.4497
0.5204,0.3318,0.3664,0.4476
0.5196,0.3315,0.3658,0.4473
0.517,0.3301,0.3648,0.4473
0.5166,0.3265,0.362,0.4443
0.5162,0.3189,0.3566,0.4382
0.5152,0.3247,0.3601,0.443
0.5143,0.3269,0.3612,0.4435
0.514,0.303,0.3425,0.4288
0.5138,0.3255,0.3601,0.4426
0.5126,0.3251,0.3595,0.442
0.5125,0.3252,0.3594,0.4421
0.512,0.3242,0.359,0.4414
0.5098,0.3232,0.3571,0.4403
0.5089,0.3211,0.3555,0.4388
0.5074,0.3207,0.3548,0.4383
0.5073,0.3218,0.3554,0.4391
0.5062,0.3172,0.3521,0.4358
0.5039,0.2947,0.3322,0.4224
0.5007,0.316,0.3495,0.4342
0.5006,0.3159,0.3494,0.4341
0.5002,0.3158,0.3492,0.4341
0.5002,0.3158,0.3492,0.4341
0.5002,0.3157,0.3492,0.434
0.5002,0.3158,0.3492,0.434
0.5001,0.3157,0.3491,0.434
0.5001,0.3157,0.3491,0.434
0.5001,0.3157,0.3491,0.434
0.5001,0.3157,0.3491,0.434
0.5001,0.3156,0.3491,0.4339
0.5001,0.3156,0.3491,0.4339
0.5001,0.3157,0.3491,0.4339
0.5001,0.3157,0.3491,0.4339
0.5001,0.3157,0.3491,0.4339
0.5001,0.3156,0.3491,0.4339
0.5001,0.3157,0.3491,0.434
0.5001,0.3157,0.3491,0.4339
0.5,0.3157,0.3491,0.434
0.5,0.3156,0.349,0.4339
0.5,0.3156,0.3491,0.4339
0.5,0.3156,0.349,0.4339
0.5,0.3157,0.349,0.434
0.5,0.3156,0.349,0.4339
0.5,0.3157,0.3491,0.4339
0.5,0.3157,0.3491,0.434
0.5,0.3157,0.3491,0.434
0.5,0.3157,0.3491,0.4339
0.5,0.3156,0.349,0.4339
0.5,0.3156,0.349,0.4339
0.5,0.3156,0.349,0.4339
0.5,0.3156,0.349,0.4339
0.5,0.3156,0.3491,0.4339
0.5,0.3156,0.349,0.4339
0.5,0.3156,0.349,0.4339
0.5,0.3156,0.3491,0.4339
0.4999,0.3157,0.3491,0.4339
0.4999,0.3156,0.349,0.4339
0.4999,0.3156,0.349,0.4339
0.4999,0.3156,0.349,0.4339
0.4999,0.3156,0.349,0.4339
0.4999,0.3156,0.349,0.4339
0.4999,0.3156,0.349,0.4339
0.4999,0.3156,0.349,0.4339
0.4999,0.3155,0.3489,0.4339
0.4999,0.3155,0.3489,0.4339
0.4999,0.3155,0.3489,0.4339
0.4999,0.3156,0.349,0.4339
0.4999,0.3155,0.349,0.4338
0.4999,0.3156,0.3491,0.4339
